Key;pt_BR;en
Ziloneo_intro_0;Professor Froggson, viu essa foto que viralizou na omninet?; Professor Froggson, did you see this photo that went viral on the omninet?
Froggson_intro_1;Não estou ciente, Doutour Ziloneo.;I'm not aware, Doutour Ziloneo.
Ziloneo_intro_2;Pois veja! Percebe algo peculiar?; Well see! Do you notice something peculiar?
Froggson_intro_3;Hmmm vejo apenas um carangue... NÃO É POSSÍVEL! Os Potamon fluviatile estão extintos há milênios!;Hmmm I see only one crab ... IT IS NOT POSSIBLE! Potamon fluviatile have been extinct for millennials!
Ziloneo_intro_4;Exatamente, meu caro amigo, esta espécie deveria estar extinta, perdida para sempre. No entanto, agora ela está na nossa frente, e precisamos investigar isso.;Exactly, my dear friend, this species should be extinct, lost forever. However, now it is in front of us, and we need to investigate it.
Froggson_intro_5;Mas como pretende fazer isso?;But how do you intend to do that?
Ziloneo_intro_6;Simples, vamos até a Terra e procurá-la.;Simple, let's go to Earth and look for it.
Froggson_intro_7;Está insano? Por que acha que encontrariamos ela tão facilmente? Além disso, como chegariamos até a Terra? Não temos uma nave que pode ir tão longe.;Are you insane? Why do you think we would find her so easily? Furthermore, how would we get to Earth? We don't have a ship that can go that far.
Ziloneo_intro_8;Não se preocupe, eu já contatei ajuda.;Don't worry, I've already contacted help.
Froggson_intro_9;Certo, e como faremos para procurar uma espécie que não é vista desde O Colapso?; Okay, and how do we go about looking for a species that hasn't been seen since The Collapse?
Ziloneo_intro_10;Com o submarino da Doutora Alezari.;With Dr. Alezari's submarine.
Froggson_intro_11;Ziloneo, com todo respeito, você deve ter se esquecido de tomar seus remédios, ou você está brincando comigo.;Ziloneo, with all due respect, you must have forgotten to take your medication, or you are kidding me.
Ziloneo_intro_12;Não estou brincando e não tomo remédios, vamos nossa carona está para chegar te explico melhor no caminho.;I'm not kidding and I don't take medication, let's go, our ride is about to arrive I explain you better on the way.
Froggson_intro_13;*suspiro* Não sei por que eu ainda tento colocar juízo na sua cabeça.;I don't know why I still try to put judgment on your head.
;;
Valerie_nave_0;Deixa ver se eu entendi, vocês querem ir até o Berço...;Let me see if I understand, you want to go to the Cradle...
Ziloneo_nave_1;A Terra, sim.; The Earth, yes.
Valerie_nave_2;Não me interrompa.;Don't interrupt me.
Valerie_nave_3;De qualquer forma. Ir até o Berço para achar um caranguejo? E ainda querem que eu pilote esse submarino?; Anyway. Go to the Cradle to find a crab? And you still want me to fly this submarine?
Ziloneo_nave_4;Precisamente.;Precisely.
Valerie_nave_5;Bom, isso vai triplicar o valor que combinamos antes.; Well, this will triple the amount we agreed on before.
Ziloneo_nave_6;Certamente, já estou enviando metade do valor adiantado.;Certainly, I'm already sending half the amount in advance.
Valerie_nave_7;Então o nerdola entende como as coisas funcionam.;So the nerd understands how things work.
Valerie_nave_8;Entrem na nave, vamos partir!;Get on the ship, let's go!
Froggson_nave_9;Acho que não tenho outra opção, certo, moça?;I don't think I have any other option, right, lady?
Valerie_nave_10;Não. A partir de agora vocês só me chamam de capitã!;From now on, you only call me captain!
;;
Froggson_submarino_0;Profundidade ideal alcançada, niveis de pressão normais.;Ideal depth reached, normal pressure levels.
Valerie_submarino_1;Posso saber como vocês tem tanta certeza de que esse é o lugar certo?;Can I know how you are so sure if this is the right place?
Ziloneo_submarino_2;Veja bem, capitã, a espécie em questão é a Potamon fluviatile, cuja distribuição geográfica era localizada somente...;You see, captain, the species in question is Potamon fluviatile, whose geographical distribution was located only ...
Valerie_submarino_3;Tá, tá, já entendi.; Uh, yeah, i got it.
;;
Valerie_porta_um_0;Que?! Como tem uma porta aqui?; What?! How is there a door here ?;
Froggson_porta_um_1;Ouvi dizer que havia uma estação de pesquisa subaquática nessa região, talvez esta porta faça parte do complexo.;I heard that there was an underwater research station in this region, perhaps this port is part of the complex.
Valerie_porta_um_2;Como iremos passar então? Quebrando? Essa joça não tem armas, né?;How will we get through then? Breaking? This thing has no weapons, right?
Ziloneo_porta_um_3;Não, não tem, capitã, além disso existe algo bem mais sofisticado chamado chave, e deve haver uma nas proximidades.;No, there isn't, Captain. Besides that there is something much more sophisticated called key, and there must be one nearby
Valerie_porta_um_4;Prefiro nem perguntar por que teria uma chave largada por ai.;I prefer not to ask why there would be a key left around.
;;
Froggson_chave_0;Achamos a chave!;We found the key!
Ziloneo_chave_1;Ai está a chave!;There's the key!
Froggson_chave_2;Chave adquirida!;Acquired key!
Valerie_chave_3;Agora podemos prosseguir.;Now we can proceed.
Froggson_chave_4;A chave!;The key!
;;
Valerie_porta_um_aberta_0;Então essa porta ainda funciona, achei já ia poder voltar pra nave.;So this door still works, I thought we would be able to go back to the ship.
Ziloneo_porta_um_aberta_1;Negativo, capitã, estamos só começando!;Negative, captain, we're just getting started!
;;
Valerie_morte_0;DO QUE ESSA PORCARIA É FEITA?!;WHAT IS THIS CRAP MADE OF ?!
Valerie_morte_1;COMO ASSIM?!; WHAT THE HELL?!
Valerie_morte_2;NÂO!; NOO!
Froggson_morte_3;Eu sabia.; I knew it.
Froggson_morte_4;Era óbvio que isso ia acontecer.;It was obvious that this was going to happen.
Ziloneo_morte_5;Me desculpem...;I´m sorry...
